"Фотографии";"Короткое название";"Артикул";"Бренд";"Цена_Розничная";"Цена_Зачеркнутая";"Цена_Трансазия";"Характеристики";"Описание товара";"Категории";"Основная категория";"Показывать товар"
"/storage/photo/original/h/pedigree-suhoj-korm-dlya-shenkov-vseh-porod-s-kuricej-06-kg.jpg;
/storage/photo/original/h/pedigree-suhoj-korm-dlya-shenkov-vseh-porod-s-kuricej-06-kg_32.jpg";"PEDIGREE сухой корм для щенков всех пород с курицей 0,6 кг";620329;"PEDIGREE";139;0;106;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для собак;
(Характеристики товара (Зоотовары))Серия:Vital Protection;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607060000000;
(Характеристики товара (Зоотовары))Вес:600 г;
(Характеристики товара (Зоотовары))Возраст питомца:Щенки;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:600 г;
(Характеристики товара (Зоотовары))";"<p> Рацион PEDIGREE- это полезная и вкусная еда, приготовленная с учетом физиологических потребностей собак, еда, которой нужно кормить регулярно. Проведенные исследования показывают, что у собак, которых регулярно кормили PEDIGREE, улучшалось пищеварение и, как следствие, общее здоровье. </p>

ОСОБЕННОСТИ ПРОДУКТА:
<li> Оптимальный уровень кальция для укрепления зубов</li>
<li> Здоровье кожи и шерсти</li>
<li> Поддержка иммунной системы </li>
<li> Отличное пищеварение </li>

Состав: кукуруза, пшеница, куриная мука, рис, свекольный жом, мясная мука (в том числе курица минимум 4%), подсолнечное масло, жир животный, пивные дрожжи, минералы, витамины.

Пищевая ценность (100 г): белки – 22 г; жиры – 11 г; зола – 7 г; клетчатка – 4 г; влажность – не более 10 г; кальций – 1,0 г; фосфор – 0,7 г; натрий – 0,3 г; калий – 0,58 г; магний – 0,1 г; цинк – 20 мг; медь – 1,5 мг; витамин А – 1500 МЕ; витамин Е – 20 мг; витамин D3 – 120 МЕ; а также витамин В1, В2, В4, В5, В12, ниацин; омега-6, омега-3 полиненасыщенные жирные кислоты. Энергетическая ценность (на 100 г): 355 ккал / 1486 кДж.";"Зоотовары/Товары для собак/Корма для собак";"Зоотовары/Товары для собак/Корма для собак";1
"/storage/photo/original/h/pedigree-suhoj-korm-dlya-sobak-melkih-porod-s-govyadinoj-06-kg.jpg;
/storage/photo/original/h/pedigree-suhoj-korm-dlya-sobak-melkih-porod-s-govyadinoj-06-kg_23.jpg";"PEDIGREE сухой корм для собак мелких пород с говядиной 0,6 кг";620322;"PEDIGREE";135;0;104;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для собак;
(Характеристики товара (Зоотовары))Серия:Vital Protection;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607060000000;
(Характеристики товара (Зоотовары))Вес:600 г;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:600 г;
(Характеристики товара (Зоотовары))";"<p>Это  полезная и вкусная еда, приготовленная с учетом всех физиологических потребностей взрослых собак маленьких пород . Аппетитный  сухой корм с говядиной обязательно подарит удовольствие Вашей собаке, и даст ее организму все необходимые элементы:                     • Инолевоая кислота и цинк для здоровья кожи и шерсти
• Кальций для крепких и здоровых зубов
• Высокоусвояемые ингредиенты для здорового пищеварения
• Витамин Е и цинк, для поддержки иммунной системыСостав: Кукуруза, пшеница, мука из птицы, рис, свекольный жом, мясная мука (в том числе говядина мин 4%),  подсолнечное масло, жир животный, пивные дрожжи, минералы, витамины,Пищевая ценность: Пищевая ценность (100 г): Белки 21г, жиры 14г,зола 8г, клетчатка 4г, влажность – не более 10г, кальций 1,3г, фосфор 0,8г, натрий 0,3г, калий 0,58г, магний 0,1г, цинк 20мг, медь 1,5мг,
Витамин А 1500МЕ, витамин Е 20мг, витамин D3 120МЕ, а также витамины B1, В2,В4, В5, В12, ниацин,  омега-6, омега-3 полиненасыщенные жирные кислоты. Энергетическая ценность (100 г): 365ккал
</p>";"Зоотовары/Товары для собак/Корма для собак";"Зоотовары/Товары для собак/Корма для собак";1
"/storage/photo/original/h/pedigree-suhoj-korm-dlya-sobak-miniatyurnih-porod-s-govyadinoj-06-kg.jpg;
/storage/photo/original/h/pedigree-suhoj-korm-dlya-sobak-miniatyurnih-porod-s-govyadinoj-06-kg_27.jpg";"PEDIGREE сухой корм для собак миниатюрных пород с говядиной 0,6 кг";620323;"PEDIGREE";156;0;120;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для собак;
(Характеристики товара (Зоотовары))Серия:Vital Protection;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:600 г;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:600 г;
(Характеристики товара (Зоотовары))";"<p>Это  полезная и вкусная еда, приготовленная с учетом всех физиологических потребностей собак миниатюрных пород . Аппетитный  сухой корм с говядиной обязательно подарит удовольствие Вашей собаке, и даст ее организму все необходимые элементы:                     • Инолевоая кислота и цинк длят здоровья кожи и шерсти
• Кальций для крепких и здоровых зубов
• Высокоусвояемые ингредиенты для здорового пищеварения
• Витамин Е и цинк, для поддержки иммунной системыСостав: Список ингредиентов: мука из птицы, пшеничная мука, кукуруза, рис, мясная мука (в том числе говядина мин 4%), жир животный, пшеница, свекольный жом, подсолнечное масло, минералы, витамины, метионин. Пищевая ценность: Пищевая ценность (100 г): Белки 22г, жиры 15г, зола 8г, клетчатка 4г, влажность – не более 10г, кальций 1,3г, фосфор 0,8г, натрий 0,3г, калий 0,58г, магний 0,1г, цинк 20мг, медь 1,5мг,
Витамин А 1500МЕ, Витамин Е 20мг, Витамин D3 120МЕ, а также витамины B1, В2,В4, В5, В12, ниацин, омега-6, омега-3 полиненасыщенные жирные кислоты. Энергетическая ценность (100 г): 370ккал
</p>";"Зоотовары/Товары для собак/Корма для собак";"Зоотовары/Товары для собак/Корма для собак";1
"/storage/photo/original/h/pedigree-suhoj-korm-dlya-sobak-vseh-porod-s-govyadinoj-06-kg.jpg;
/storage/photo/original/h/pedigree-suhoj-korm-dlya-sobak-vseh-porod-s-govyadinoj-06-kg_21.jpg";"PEDIGREE сухой корм для собак всех пород с говядиной 0,6 кг";620321;"PEDIGREE";126;0;97;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для собак;
(Характеристики товара (Зоотовары))Серия:Vital Protection;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607060000000;
(Характеристики товара (Зоотовары))Вес:600 г;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:600 г;
(Характеристики товара (Зоотовары))";"<p>Это  полезная и вкусная еда, приготовленная с учетом всех физиологических потребностей взрослых собак всех пород . Аппетитный  сухой корм с говядиной обязательно подарит удовольствие Вашей собаке, и даст ее организму все необходимые элементы:                    • Инолевоая кислота и цинк для здоровья кожи и шерсти
• Кальций для крепких и здоровых зубов
• Высокоусвояемые ингредиенты для здорового пищеварения
• Витамин Е и цинк, для поддержки иммунной системыСостав: Пшеница, кукуруза, мука из птицы, рис, мясная мука (в том числе говядина мин 4%), свекольный жом, подсолнечное масло, жир животный, пивные дрожжи, витамины, минералы, глюкозамин.Пищевая ценность: Пищевая ценность (100 г): Белки 22г, жиры 11г, зола 8г, клетчатка 4г, влажность – не более 10г, кальций 1,0г, фосфор 0,7г, натрий 0,3г, калий 0,58г, магний 0,1г, цинк 20мг, медь 1,5мг, Витамин А 1500МЕ,  витамин Е 20мг, витамин D3 120МЕ, а также витамины В1, В2, В4, В5, В12, ниацин, омега-6, омега-3 полиненасыщенные жирные кислоты. Энергетическая ценность (100 г):  335 ккал </p>";"Зоотовары/Товары для собак/Корма для собак";"Зоотовары/Товары для собак/Корма для собак";1
"/storage/photo/original/h/perfect-fit-suhoj-korm-adult-dlya-sobak-srednih-i-krupnih-porod-starshe-goda-s-kuricej-08-kg.jpg;
/storage/photo/original/h/perfect-fit-suhoj-korm-adult-dlya-sobak-srednih-i-krupnih-porod-starshe-goda-s-kuricej-08-kg_50.jpg";"PERFECT FIT сухой корм Adult для собак средних и крупных пород старше года с курицей 0,8 кг";620333;"PERFECT FIT";316;0;243;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для собак;
(Характеристики товара (Зоотовары))Серия:Adult;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:800 г;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:800 г;
(Характеристики товара (Зоотовары))";"Система профессионального питания Perfect Fit разработана совместно с диетологами и ветеринарами и специально создана для поддержания активности и жизненной энергии собаки на протяжении всей жизни. В основе профессионального рациона Perfect Fit лежит уникальная формула PERFECT FIT TOTAL 5 FORMULA, которая заботится о важнейших слагаемых здоровья в соответствии с размером и возрастом собаки. Данная рецептура учитывает особые потребности взрослых собак средних и крупных пород. Содержит белки высокого качества для поддержания сильной и здоровой мускулатуры. Содержит натуральный источник глюкозамина для поддержания здоровья суставов, что способствует хорошей подвижности собаки. Содержит повышенные уровни витаминов В1, В2, В6 и железа, способствующие поддержанию активности собаки.

ОСОБЕННОСТИ ПРОДУКТА:

<li> Здоровая мускулатура
<li> Подвижность суставов
<li> Жизненная энергия


Состав:  курица (18%), кукуруза, пшеница, жир куриный, гидролизат животного происхождения, высушенная пульпа сахарной свеклы (3%), сухое цельное яйцо (1,2%), соль, натрий триполифосфат (0,7%), холин хлорид, масло подсолнечное (0,4%), калий хлорид, экстракт цикория (0,2%), минеральные вещества и витамины.

Содержание питательных веществ (100 г):  белок – 25 г; жир – 14 г; зола – 7,5 г; влажность – 8,5 г; клетчатка – 1,9 г; железо – 10,7 мг; витамин А – 1224 МЕ; витамин D3 – 135 МЕ; витамин Е – 37,5 мг.";"Зоотовары/Товары для собак/Корма для собак";"Зоотовары/Товары для собак/Корма для собак";1
"/storage/photo/original/h/perfect-fit-suhoj-korm-adult-dlya-vzroslih-koshek-s-kuricej-650-g.jpg;
/storage/photo/original/h/perfect-fit-suhoj-korm-adult-dlya-vzroslih-koshek-s-kuricej-650-g_30.jpg";"PERFECT FIT сухой корм Adult для взрослых кошек с курицей 650 г";610543;"PERFECT FIT";251;0;201;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Серия:Adult;
(Характеристики товара (Зоотовары))Страна происхождения:Германия;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:650 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:650 г;
(Характеристики товара (Зоотовары))";"<p>PERFECT FIT - это система профессионального питания, которая создана специально для поддержания здоровья кошек, чтобы они оставались активными, игривыми и получали максимум от каждого дня на протяжении всей жизни. Благодаря специальной формуле &laquo;5 слагаемых здоровья&raquo; PERFECT FIT заботится о важнейших составляющих хорошего самочувствия кошки и помогает ей всегда быть полной жизненных сил. В PERFECT FIT Adult учтены все потребности взрослых кошек, которым важно оставаться в тонусе. Особая комбинация белков, минералов и витаминов поддержит силу мышц и подарит кошке энергию для активного времяпрепровождения.<br /> <br /> ОСОБЕННОСТИ ПРОДУКТА: </p>
<ul>
<li>Здоровая кожа и шерсть</li>
<li>Контроль веса</li>
<li>Сильная естественная защита</li>
<li>Здоровье зубов</li>
<li>Здоровое пищеварение <br /> Состав: мука животного происхождения (в том числе курица 14%), мука из птицы, пшеница, белковый соевый концентрат, кукурузная мука, жир животный, белковый кукурузный концентрат, соевая мука, рис, гидролизат животного происхождения, дрожжи, соль, хлорид калия, подсолнечное масло, минеральные вещества и витамины. </li>
</ul>";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/perfect-fit-suhoj-korm-in-home-dlya-domashnih-koshek-s-kuricej-065-kg.jpg;
/storage/photo/original/h/perfect-fit-suhoj-korm-in-home-dlya-domashnih-koshek-s-kuricej-065-kg_45.jpg";"PERFECT FIT сухой корм In-home для домашних кошек с курицей 0,65 кг";610442;"PERFECT FIT";261;0;201;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Серия:In-home;
(Характеристики товара (Зоотовары))Страна происхождения:Германия;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:650 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:650 г;
(Характеристики товара (Зоотовары))";"Сухой корм Perfect Fit ""In-Home"" создан специально для поддержания жизненного тонуса и хорошего самочувствия домашних лежебок.
Особенности сухого корма ""Perfect Fit"":
- содержит натуральную клетчатку, помогающую контролировать образование комочков шерсти в организме кошки;
- специальная рецептура позволяет снизить потребление калорий в каждом кормлении;
- способствует поддержанию здоровой кожи и блестящей шерсти благодаря содержанию биотина, цинка и омега-6 кислот;
- содержит экстракт Юкки Шидигера, помогающий уменьшить запах кошачьего туалета;
- не содержит ароматизаторов, красителей и консервантов.";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/perfect-fit-suhoj-korm-sterile-dlya-sterilizovannih-koshek-065-kg.jpg;
/storage/photo/original/h/perfect-fit-suhoj-korm-sterile-dlya-sterilizovannih-koshek-065-kg_47.jpg";"PERFECT FIT сухой корм Sterile для стерилизованных кошек 0,65 кг";610451;"PERFECT FIT";261;0;201;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Серия:Sterile;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:650 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Ветеринарные показания и специальные потребности:Стерилизация / Кастрация;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:650 г;
(Характеристики товара (Зоотовары))";"Сухой корм Perfect Fit ""Sterile"" - полнорационный сухой корм для кастрированных котов и стерилизованных кошек. Корм специально создан для поддержания здоровья и жизненного тонуса после кастрации и стерилизации. <br />
Поддерживает здоровье мочевыводящей системы. Баланс минералов, помогающий поддержанию здоровой мочевыводящей системы. <br />
Способствует поддержанию оптимального веса. Специальная рецептура позволяет снизить потребление калорий в каждом кормлении. <br />
Гладкая шерсть и здоровая кожа. Способствует поддержанию здоровой кожи и блестящей шерсти благодаря содержанию биотина, цинка и омега- 6 кислот. <br />
Здоровое пищеварение. Курица и рис для легкого усвоения и оптимального пищеварения. <br />
<br />
Состав: высушенный белок птицы (включая 19% курицы), пшеница, животный жир, высушенный животный белок, кукуруза, кукурузная мука, высушенный белок злаков, рис (не менее 4%), высушенная печень, сухая свекла, целлюлоза, соль, мясокостная мука, хлорид калия, витамины и минеральные вещества.<br />
Пищевая ценность (100 г): белок 37 г; жир 12 г; зола 7,5 г; влажность 6 г; клетчатка 3 г; кальций 1 г; фосфор 0,83 г; магний 0,09 г; жирные кислоты (омега-6) 2,9 г; биотин 0,013 мг; витамин А 1644,5 МЕ; витамин D3 93,4 МЕ; пентагидрат сульфата меди 0,14 мг; йодат кальция безводный 0,05 мг; моногидрат сульфата марганца 10,14 мг; моногидрат сульфата цинка 16,5 мг. <br />
Энергетическая ценность (100 г): 378 ккал.";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/perfect-fit-suhoj-korm-sterile-dlya-sterilizovannih-koshek-s-govyadinoj-065-kg.jpg;
/storage/photo/original/h/perfect-fit-suhoj-korm-sterile-dlya-sterilizovannih-koshek-s-govyadinoj-065-kg_40.jpg";"PERFECT FIT сухой корм Sterile для стерилизованных кошек с говядиной 0,65 кг";610450;"PERFECT FIT";261;0;201;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Серия:Sterile;
(Характеристики товара (Зоотовары))Страна происхождения:Германия;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:650 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Ветеринарные показания и специальные потребности:Стерилизация / Кастрация;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:650 г;
(Характеристики товара (Зоотовары))";"PERFECT FIT - это система профессионального питания, которая создана специально для поддержания здоровья кошек, чтобы они оставались активными, игривыми и получали максимум от каждого дня на протяжении всей жизни. Благодаря специальной формуле «5 слагаемых здоровья» PERFECT FIT™ заботится о важнейших составляющих хорошего самочувствия кошки и помогает ей всегда быть полной жизненных сил.В рационе PERFECT FIT™ Sterile мы учли потребности организма кошки, прошедшей стерилизацию. Витамины группы B и железо помогут ей оставаться активной, пребиотики поддержат работу пищеварительной системы, а специальный адаптированный нутриентный профиль позволит следить за оптимальным балансом веса.


ОСОБЕННОСТИ ПРОДУКТА:

<li> Здоровая кожа и шерсть
<li> Контроль веса
<li> Сильная естественная защита
<li> Здоровье зубов
<li> Здоровое пищеварение

Состав: мука животного происхождения (в том числе говядины 14%), мука из птицы, пшеница, кукуруза, жир животный, белковый соевый концентрат, белковый кукурузный концентрат, соевая мука, рис, гидролизат животного происхождения, дрожжи, соль, экстракт цикория, высушенная пульпа сахарной свеклы, хлорид калия, подсолнечное масло, минеральные вещества и витамины.";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/whiskas-podushechki-s-kuricej-dlya-sterilizovannih-koshek-035-kg.jpg;
/storage/photo/original/h/whiskas-podushechki-s-kuricej-dlya-sterilizovannih-koshek-035-kg_35.jpg";"WHISKAS подушечки с курицей для стерилизованных кошек 0,35 кг";610452;"WHISKAS";111;0;78;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Серия:Вкусные подушечки;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:350 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Ветеринарные показания и специальные потребности:Стерилизация / Кастрация;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Коробка;
(Характеристики товара (Зоотовары))Вес упаковки:350 г;
(Характеристики товара (Зоотовары))";"Создан специально, учитывая особые потребности Вашей любимицы. Хрустящие подушечки с нежным паштетом внутри обязательно придутся по вкусу Вашей кошке. Кроме того, корм Whiskas® содержит все необходимое, чтобы еда Вашей стерилизованной любимицы была не только вкусной, но и полезной. </p>


Ингредиенты:   Пшеничная мука, мука животного происхождения (в том числе мука из курицы минимум 4% в коричневых гранулах); белковые растительные экстракты, рис, животные жиры и растительное масло, высушенная куриная и свиная печень, пивные дрожжи, витамины и минеральные вещества.


ОСОБЕННОСТИ ПРОДУКТА:
<li> Оптимальное сочетание питательных веществ и нутриентов для подержания обмена веществ и здоровья мочевыводящей системы
<li> Витамин Е и цинк для иммунитета
<li> Омега-6 и цинк для здоровья кожи и шерсти
<li> Баланс кальция и фосфора для здоровья костей
<li> Витамин А и таурин для хорошего зрения
<li> Высокоусваиваемые ингредиенты и клетчатка для пищеварения";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/whiskas-podushechki-s-nezhnim-pashtetom-appetitnij-obed-s-lososem-035-kg.jpg;
/storage/photo/original/h/whiskas-podushechki-s-nezhnim-pashtetom-appetitnij-obed-s-lososem-035-kg_42.jpg";"WHISKAS подушечки с нежным паштетом Аппетитный обед с лососем 0,35 кг";610457;"WHISKAS";111;0;85;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Серия:Вкусные подушечки;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:350 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Коробка;
(Характеристики товара (Зоотовары))Вес упаковки:350 г;
(Характеристики товара (Зоотовары))";"Полнорационный сухой корм Whiskas приготовлен для взрослых кошек не имеющих проблем со здоровьем в возрасте старше года. Аппетитные подушечки с нежнейшим рыбным паштетом внутри придутся по вкусу даже избирательным гурманам. Рецептура корма разработана на основе новейшего комплекса, сочетающего необходимый набор компонентов для поддержания правильного обмена веществ. Ингредиенты подобраны с учетом физиологических и возрастных потребностей. Ежедневное употребление корма наполнит энергией вашего питомца, продлит его молодость и красоту. </p>


ОСОБЕННОСТИ ПРОДУКТА:

<li> Для кошек любых пород
<li> Легко усваивается
<li> Красота шерсти и кожных покровов
<li> Без консервантов и усилителей вкуса
<li> Профилактика образования зубного камня
<li> Здоровье костей и зубов


Ингредиенты:   Пшеничная мука, мука из птицы, белковые растительные экстракты, злаки, мука из рыбы, мука из тунца, мука из лосося (лосось и тунец мин. 4 % в розовых и бежевых гранулах), мука из креветок (мин. 4 % в розовых и бежевых гранулах), животные жиры и растительное масло, высушенная куриная и свиная печень, пивные дрожжи, свекольный жом, морковь, минеральные и витаминные смеси.";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/whiskas-podushechki-s-nezhnim-pashtetom-appetitnoe-assorti-s-kuricej-i-indejkoj-035-kg.jpg;
/storage/photo/original/h/whiskas-podushechki-s-nezhnim-pashtetom-appetitnoe-assorti-s-kuricej-i-indejkoj-035-kg_37.jpg";"WHISKAS подушечки с нежным паштетом Аппетитное ассорти с курицей и индейкой 0,35 кг";610456;"WHISKAS";111;0;85;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Серия:Вкусные подушечки;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:350 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Коробка;
(Характеристики товара (Зоотовары))Вес упаковки:350 г;
(Характеристики товара (Зоотовары))";"Полнорационный сухой корм Whiskas приготовлен для взрослых кошек не имеющих проблем со здоровьем в возрасте старше года. Аппетитные подушечки с нежнейшим куриным паштетом внутри придутся по вкусу даже избирательным гурманам. Рецептура корма разработана на основе новейшего комплекса, сочетающего необходимый набор компонентов для поддержания правильного обмена веществ. Ингредиенты подобраны с учетом физиологических и возрастных потребностей. Ежедневное употребление корма наполнит энергией вашего питомца, продлит его молодость и красоту. </p>


ОСОБЕННОСТИ ПРОДУКТА:

<li> Для кошек любых пород
<li> Легко усваивается
<li> Красота шерсти и кожных покровов
<li> Без консервантов и усилителей вкуса
<li> Профилактика образования зубного камня
<li> Здоровье костей и зубов


Ингредиенты:  Пшеничная мука, мука животного происхождения: мука из птицы, мука из утки, мука из индейки (курицы, утки, индейки не менее 4% в красно-коричневых гранулах), растительные белковые экстракты, злаки, животные жиры и растительное масло, высушенная куриная и свиная печень, пивные дрожжи, свекольный жом, морковь, минеральные и витаминные смеси.";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
"/storage/photo/original/h/whiskas-podushechki-s-nezhnim-pashtetom-appetitnoe-assorti-s-kuricej-i-indejkoj-08-kg.jpg;
/storage/photo/original/h/whiskas-podushechki-s-nezhnim-pashtetom-appetitnoe-assorti-s-kuricej-i-indejkoj-08-kg_36.jpg";"WHISKAS подушечки с нежным паштетом Аппетитное ассорти с курицей и индейкой 0,8 кг";610463;"WHISKAS";239;0;157;"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Серия:Вкусные подушечки;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607070000000;
(Характеристики товара (Зоотовары))Вес:800 г;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:800 г;
(Характеристики товара (Зоотовары))";"Полнорационный сухой корм Whiskas приготовлен для взрослых кошек не имеющих проблем со здоровьем в возрасте старше года. Аппетитные подушечки с нежнейшим куриным паштетом внутри придутся по вкусу даже избирательным гурманам. Рецептура корма разработана на основе новейшего комплекса, сочетающего необходимый набор компонентов для поддержания правильного обмена веществ. Ингредиенты подобраны с учетом физиологических и возрастных потребностей. Ежедневное употребление корма наполнит энергией вашего питомца, продлит его молодость и красоту. </p>


ОСОБЕННОСТИ ПРОДУКТА:

<li> Для кошек любых пород
<li> Легко усваивается
<li> Красота шерсти и кожных покровов
<li> Без консервантов и усилителей вкуса
<li> Профилактика образования зубного камня
<li> Здоровье костей и зубов


Ингредиенты:  Пшеничная мука, мука животного происхождения: мука из птицы, мука из утки, мука из индейки (курицы, утки, индейки не менее 4% в красно-коричневых гранулах), растительные белковые экстракты, злаки, животные жиры и растительное масло, высушенная куриная и свиная печень, пивные дрожжи, свекольный жом, морковь, минеральные и витаминные смеси.";"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1
